ax,ay,az,gx,gy,gz,label
1160.0,-1492.0,21356.0,4018.0,-5334.0,-11690.0,infinito
-10352.0,-56.0,20244.0,6008.0,-5731.0,-11642.0,infinito
-19204.0,2316.0,17672.0,8152.0,-4035.0,-7995.0,infinito
-23388.0,3536.0,14012.0,11433.0,-1098.0,-3302.0,infinito
-21300.0,2028.0,6376.0,9868.0,-1380.0,6207.0,infinito
-14444.0,-352.0,936.0,7013.0,455.0,11465.0,infinito
-8456.0,-2688.0,-456.0,2947.0,2924.0,14319.0,infinito
-2284.0,-5424.0,-1156.0,-1489.0,4080.0,15109.0,infinito
5764.0,-7100.0,2012.0,-6362.0,3139.0,14559.0,infinito
17216.0,-8116.0,8888.0,-9315.0,4684.0,10400.0,infinito
28144.0,-7740.0,16872.0,-8650.0,3451.0,1389.0,infinito
20668.0,-7672.0,17020.0,-6099.0,891.0,-9097.0,infinito
6180.0,-6912.0,11708.0,-6031.0,-1741.0,-14217.0,infinito
-5612.0,-4292.0,8112.0,-8341.0,-5151.0,-14556.0,infinito
-14568.0,-872.0,8360.0,-11032.0,-4095.0,-11131.0,infinito
-18800.0,1464.0,10924.0,-13234.0,-4000.0,-5615.0,infinito
-17824.0,2924.0,17244.0,-13309.0,-434.0,69.0,infinito
-16172.0,2972.0,21064.0,-11513.0,1719.0,4856.0,infinito
-14632.0,2140.0,24124.0,-8813.0,2935.0,9464.0,infinito
-9648.0,424.0,27584.0,-5997.0,4002.0,13763.0,infinito
-3876.0,-1372.0,28592.0,-1093.0,6228.0,15337.0,infinito
2232.0,-3684.0,29268.0,2763.0,6073.0,15521.0,infinito
7584.0,-5784.0,28536.0,6323.0,6329.0,14308.0,infinito
13568.0,-7544.0,28312.0,9620.0,5160.0,10764.0,infinito
15400.0,-8884.0,25188.0,12279.0,3804.0,6066.0,infinito
17864.0,-9844.0,23440.0,13253.0,1550.0,706.0,infinito
14688.0,-10056.0,21188.0,14453.0,-2170.0,-5036.0,infinito
10092.0,-10144.0,15252.0,13561.0,-3794.0,-9157.0,infinito
5736.0,-8700.0,14412.0,12028.0,-4911.0,-12299.0,infinito
