ax,ay,az,gx,gy,gz,label
308.0,2600.0,13464.0,921.0,-277.0,-399.0,C
-452.0,2972.0,13176.0,1211.0,-302.0,-314.0,C
-636.0,3376.0,13232.0,1215.0,-251.0,29.0,C
-216.0,3720.0,15264.0,1491.0,97.0,598.0,C
4148.0,3960.0,15720.0,2759.0,606.0,1020.0,C
12796.0,2320.0,10552.0,4207.0,4652.0,-756.0,C
14136.0,404.0,5020.0,2850.0,3426.0,-5824.0,C
7496.0,296.0,1080.0,-102.0,-289.0,-10542.0,C
-2820.0,864.0,1608.0,-3795.0,-1414.0,-12355.0,C
-12904.0,2460.0,5548.0,-6404.0,-2065.0,-10868.0,C
-17992.0,4132.0,9236.0,-6879.0,-3054.0,-7176.0,C
-20912.0,4108.0,10244.0,-9030.0,-3416.0,-856.0,C
-16584.0,2296.0,13492.0,-10078.0,-4231.0,5842.0,C
-8660.0,1320.0,20480.0,-8664.0,-3874.0,9038.0,C
-6228.0,-532.0,21552.0,-6721.0,-1539.0,11656.0,C
-708.0,-2304.0,23000.0,-4986.0,1169.0,12442.0,C
1360.0,-2856.0,25740.0,-2680.0,2109.0,12138.0,C
3480.0,-3720.0,25428.0,182.0,3982.0,11260.0,C
3096.0,-4432.0,24068.0,2210.0,3995.0,9917.0,C
2048.0,-4504.0,22676.0,3849.0,3895.0,9595.0,C
3000.0,-5152.0,23088.0,5417.0,6486.0,9680.0,C
6284.0,-6200.0,21408.0,6566.0,6603.0,9187.0,C
6956.0,-6984.0,20452.0,7062.0,7891.0,7197.0,C
4284.0,-6552.0,20348.0,6852.0,8400.0,5424.0,C
2832.0,-5444.0,19184.0,6930.0,8197.0,4683.0,C
3256.0,-4580.0,16940.0,5745.0,3412.0,2882.0,C
3392.0,-4092.0,15836.0,3830.0,-1924.0,516.0,C
1748.0,-3876.0,15848.0,2167.0,-2175.0,-1121.0,C
-744.0,-3584.0,17468.0,670.0,-1283.0,-1543.0,C
-2232.0,-3540.0,19980.0,279.0,503.0,-1322.0,C
-2160.0,-3592.0,22024.0,489.0,146.0,-969.0,C
-1916.0,-3728.0,21524.0,1140.0,651.0,-898.0,C
-2656.0,-3636.0,20724.0,1280.0,-508.0,-757.0,C
-2732.0,-3612.0,19752.0,1117.0,-14.0,-488.0,C
-2092.0,-3504.0,19904.0,781.0,-341.0,-243.0,C
524.0,472.0,16132.0,-88.0,86.0,114.0,C
292.0,672.0,16480.0,-114.0,10.0,10.0,C
24.0,812.0,17024.0,25.0,-168.0,3.0,C
-124.0,592.0,16600.0,150.0,-58.0,33.0,C
-104.0,556.0,16512.0,112.0,4.0,99.0,C
104.0,636.0,16896.0,92.0,33.0,199.0,C
448.0,1228.0,18440.0,346.0,-277.0,264.0,C
2352.0,1928.0,20192.0,1311.0,-497.0,216.0,C
9708.0,1824.0,17396.0,2970.0,-507.0,-648.0,C
12780.0,124.0,8696.0,1848.0,974.0,-5453.0,C
2892.0,188.0,6144.0,-879.0,542.0,-9211.0,C
-7896.0,620.0,6748.0,-4129.0,255.0,-9155.0,C
-13644.0,2128.0,8720.0,-6488.0,-1537.0,-5560.0,C
-14404.0,1680.0,10484.0,-9008.0,-1471.0,-1010.0,C
-12280.0,1112.0,16044.0,-10463.0,-2041.0,2696.0,C
-9076.0,316.0,22452.0,-9753.0,-1686.0,6246.0,C
-4600.0,-1536.0,26620.0,-7159.0,-898.0,8695.0,C
-88.0,-2832.0,27780.0,-3792.0,-834.0,9360.0,C
3356.0,-3580.0,25528.0,-912.0,103.0,8600.0,C
4348.0,-3824.0,23088.0,651.0,662.0,7137.0,C
3368.0,-3268.0,23644.0,2001.0,898.0,5586.0,C
2120.0,-3448.0,22712.0,3555.0,2050.0,4940.0,C
916.0,-3832.0,21180.0,4410.0,3140.0,5021.0,C
1304.0,-3872.0,20276.0,4776.0,4435.0,5329.0,C
3180.0,-4252.0,20516.0,5090.0,6412.0,5507.0,C
4896.0,-5328.0,20604.0,5263.0,8115.0,4585.0,C
3668.0,-4936.0,20520.0,5320.0,7614.0,3282.0,C
3176.0,-5144.0,18548.0,4857.0,6234.0,2122.0,C
2168.0,-4632.0,18044.0,3686.0,3573.0,681.0,C
496.0,-4220.0,17616.0,2569.0,2046.0,-40.0,C
80.0,-3868.0,17344.0,1001.0,308.0,-735.0,C
-1616.0,-3660.0,18516.0,-399.0,-236.0,-1235.0,C
-3668.0,-3552.0,20268.0,-1338.0,-259.0,-784.0,C
-2392.0,-3684.0,22940.0,-1468.0,246.0,-77.0,C
-804.0,-3760.0,23940.0,-920.0,-476.0,-60.0,C
-184.0,-3908.0,23412.0,-576.0,-290.0,-701.0,C
-1072.0,-3756.0,23452.0,-295.0,-492.0,-1101.0,C
-2572.0,-3460.0,23112.0,32.0,-488.0,-1023.0,C
-2808.0,-3480.0,22296.0,94.0,-274.0,-518.0,C
-2312.0,-3580.0,22596.0,14.0,35.0,-226.0,C
-308.0,-1872.0,12876.0,666.0,-39.0,-88.0,C
920.0,-1792.0,12344.0,110.0,-245.0,111.0,C
1700.0,-1916.0,13324.0,-347.0,-26.0,-60.0,C
1476.0,-1928.0,13412.0,-574.0,189.0,-180.0,C
1900.0,-1876.0,14480.0,-638.0,126.0,-439.0,C
1412.0,-1924.0,15444.0,-342.0,-101.0,-281.0,C
2916.0,-1528.0,14912.0,87.0,675.0,-308.0,C
7060.0,-1216.0,14984.0,408.0,1218.0,-828.0,C
11116.0,-1840.0,13960.0,1353.0,3637.0,-2669.0,C
13212.0,-3388.0,10920.0,1389.0,4000.0,-6197.0,C
9412.0,-4204.0,7088.0,467.0,2134.0,-10811.0,C
-280.0,-2964.0,204.0,-2102.0,1359.0,-12431.0,C
-8880.0,-2508.0,-684.0,-7820.0,-542.0,-11467.0,C
-14936.0,-1116.0,8652.0,-11791.0,-171.0,-7935.0,C
-16168.0,-1724.0,12772.0,-14095.0,-733.0,-3493.0,C
-16936.0,-2068.0,19732.0,-13944.0,-2152.0,1603.0,C
-13180.0,-3472.0,25644.0,-12135.0,-1934.0,6411.0,C
-6940.0,-4864.0,29488.0,-8402.0,-667.0,9579.0,C
-1428.0,-5940.0,29060.0,-4580.0,-1085.0,10705.0,C
1920.0,-6728.0,25944.0,-1396.0,1029.0,10158.0,C
3184.0,-6844.0,23756.0,280.0,990.0,9154.0,C
6332.0,-7436.0,21788.0,1378.0,1679.0,7912.0,C
7020.0,-7976.0,20992.0,1882.0,2068.0,6003.0,C
5328.0,-7732.0,22072.0,2720.0,1989.0,4124.0,C
3024.0,-7676.0,21652.0,3833.0,1796.0,3056.0,C
2528.0,-8264.0,18316.0,4596.0,1592.0,2725.0,C
4612.0,-7824.0,15676.0,4311.0,1466.0,2180.0,C
3920.0,-7264.0,14368.0,3439.0,1869.0,1062.0,C
2804.0,-6892.0,14076.0,2168.0,1986.0,453.0,C
2120.0,-6400.0,15972.0,1190.0,1933.0,152.0,C
1316.0,-6656.0,16896.0,766.0,1830.0,-412.0,C
-168.0,-6396.0,16920.0,306.0,1643.0,-455.0,C
-100.0,-6680.0,18236.0,-199.0,1355.0,-304.0,C
536.0,-6916.0,19660.0,-65.0,1522.0,-383.0,C
820.0,-6880.0,19700.0,217.0,1248.0,-774.0,C
-112.0,-6588.0,18512.0,357.0,1469.0,-872.0,C
28.0,-6556.0,18576.0,-64.0,1236.0,-1048.0,C
-224.0,-6728.0,19356.0,-28.0,1153.0,-1080.0,C
-1368.0,-6576.0,19260.0,70.0,1738.0,-846.0,C
140.0,-6612.0,18932.0,1.0,1838.0,-694.0,C
2532.0,6212.0,6172.0,-432.0,-1459.0,-2100.0,C
-208.0,7232.0,8196.0,62.0,-626.0,-2043.0,C
-728.0,7160.0,7008.0,695.0,57.0,-1186.0,C
160.0,7348.0,6668.0,890.0,620.0,-433.0,C
1616.0,7404.0,6804.0,1175.0,653.0,-504.0,C
2160.0,7560.0,5700.0,1213.0,-312.0,-1035.0,C
1908.0,7684.0,4696.0,1072.0,-365.0,-1645.0,C
612.0,7976.0,2792.0,735.0,-649.0,-2056.0,C
-1456.0,7660.0,-36.0,-508.0,-518.0,-2463.0,C
-4712.0,8740.0,-3576.0,-2396.0,-1223.0,-2313.0,C
-8024.0,8052.0,-2032.0,-5408.0,-1945.0,-700.0,C
-7924.0,6992.0,2088.0,-7733.0,-1773.0,1933.0,C
-7676.0,6328.0,6332.0,-8484.0,-614.0,4323.0,C
-4704.0,7588.0,9772.0,-8457.0,-3247.0,6369.0,C
-4444.0,6972.0,14588.0,-5894.0,-4454.0,8180.0,C
-2932.0,5564.0,15164.0,-2985.0,-5632.0,9927.0,C
-36.0,3156.0,14088.0,42.0,-3169.0,11631.0,C
3456.0,1752.0,12268.0,2749.0,-4217.0,11606.0,C
3040.0,164.0,8480.0,4568.0,-2413.0,11247.0,C
4404.0,-468.0,6428.0,5322.0,-303.0,10871.0,C
8260.0,-1580.0,5632.0,4635.0,-55.0,9799.0,C
9556.0,-2324.0,7468.0,5065.0,-155.0,7744.0,C
10352.0,-3012.0,7696.0,5948.0,205.0,5612.0,C
9460.0,-3272.0,7520.0,6797.0,117.0,3362.0,C
7156.0,-3484.0,4632.0,7285.0,468.0,1570.0,C
5700.0,-3376.0,2236.0,6662.0,313.0,446.0,C
3948.0,-2548.0,2548.0,5771.0,401.0,-430.0,C
2272.0,-2332.0,-664.0,4670.0,-28.0,-728.0,C
344.0,-1792.0,-320.0,2508.0,-78.0,-518.0,C
-460.0,-1156.0,2400.0,1215.0,-98.0,410.0,C
1100.0,-1616.0,2768.0,287.0,466.0,1268.0,C
2420.0,-1988.0,4196.0,-366.0,841.0,1436.0,C
3484.0,-1924.0,5696.0,-460.0,959.0,1283.0,C
3772.0,-2108.0,6256.0,-320.0,977.0,897.0,C
3824.0,-2076.0,6128.0,-232.0,512.0,453.0,C
3428.0,-2060.0,6188.0,-215.0,10.0,-56.0,C
2232.0,-2108.0,5700.0,-106.0,113.0,-203.0,C
1948.0,-1960.0,5480.0,-74.0,170.0,-26.0,C
1672.0,-1860.0,5544.0,-171.0,501.0,83.0,C
1648.0,-1836.0,5132.0,-289.0,429.0,267.0,C
-1520.0,3976.0,14716.0,1337.0,1593.0,-430.0,C
-1284.0,4120.0,14580.0,1512.0,1442.0,-541.0,C
-496.0,4256.0,15340.0,1643.0,1096.0,-711.0,C
408.0,4468.0,15316.0,2074.0,878.0,-1029.0,C
-1088.0,5316.0,14240.0,2174.0,1650.0,-1506.0,C
-284.0,4028.0,15948.0,2919.0,552.0,-2006.0,C
-1360.0,3988.0,14116.0,3349.0,665.0,-2380.0,C
-1080.0,3568.0,14244.0,3833.0,1239.0,-2866.0,C
-2436.0,3924.0,12196.0,3852.0,1837.0,-2822.0,C
-2444.0,3612.0,10068.0,3376.0,1402.0,-2725.0,C
560.0,2956.0,7272.0,2417.0,1512.0,-2967.0,C
2340.0,2728.0,4480.0,54.0,1648.0,-4809.0,C
-2152.0,3036.0,-1240.0,-3116.0,974.0,-6611.0,C
-9340.0,3748.0,3924.0,-8255.0,-727.0,-6588.0,C
-14704.0,4332.0,10384.0,-9707.0,-816.0,-4164.0,C
-18496.0,5232.0,15448.0,-10654.0,-44.0,118.0,C
-17428.0,5368.0,23228.0,-9924.0,-7.0,5188.0,C
-13452.0,5368.0,26676.0,-4779.0,-616.0,8735.0,C
-11328.0,3812.0,26544.0,-722.0,-177.0,11715.0,C
-7212.0,1372.0,25656.0,2851.0,-305.0,14294.0,C
-2188.0,-2172.0,23904.0,6022.0,-485.0,15710.0,C
3692.0,-5448.0,20236.0,8331.0,948.0,15675.0,C
11288.0,-6940.0,19348.0,10266.0,930.0,13412.0,C
11532.0,-7836.0,16332.0,11305.0,1377.0,9394.0,C
11388.0,-8300.0,11464.0,10946.0,676.0,5585.0,C
9488.0,-7140.0,10920.0,9180.0,43.0,1931.0,C
6268.0,-7044.0,10836.0,9519.0,604.0,-597.0,C
3076.0,-6328.0,8032.0,7781.0,346.0,-2234.0,C
40.0,-5328.0,8620.0,6115.0,925.0,-2731.0,C
-1416.0,-4628.0,9256.0,4562.0,323.0,-2607.0,C
-2628.0,-4124.0,8276.0,3058.0,1026.0,-1924.0,C
-2680.0,-4176.0,9712.0,1458.0,1470.0,-973.0,C
-2032.0,-4304.0,11168.0,577.0,2193.0,-261.0,C
-356.0,-4424.0,12844.0,-15.0,2505.0,172.0,C
736.0,-4732.0,15140.0,200.0,2384.0,-74.0,C
1084.0,-4752.0,14676.0,715.0,2180.0,-511.0,C
580.0,-4636.0,14276.0,904.0,1566.0,-905.0,C
-188.0,-4348.0,14016.0,1127.0,1569.0,-1063.0,C
-976.0,-4488.0,13360.0,1017.0,1669.0,-891.0,C
-536.0,-4360.0,13444.0,808.0,1905.0,-459.0,C
-2180.0,7552.0,8828.0,1154.0,-339.0,-894.0,C
-2800.0,7692.0,8448.0,1104.0,-336.0,-485.0,C
-2340.0,7764.0,7792.0,784.0,-149.0,-43.0,C
-1180.0,7556.0,7988.0,420.0,-17.0,42.0,C
-748.0,7520.0,8032.0,189.0,119.0,-253.0,C
1312.0,7040.0,4884.0,-58.0,1045.0,-638.0,C
1028.0,6756.0,-500.0,-1820.0,1538.0,-1975.0,C
-2276.0,6576.0,-2324.0,-5946.0,1991.0,-3000.0,C
-5828.0,6904.0,1620.0,-9243.0,1393.0,-2516.0,C
-7264.0,6704.0,6092.0,-11363.0,258.0,-1093.0,C
-8600.0,6424.0,10964.0,-11814.0,-480.0,711.0,C
-9276.0,6880.0,15540.0,-10786.0,-1236.0,2766.0,C
-8796.0,7596.0,18404.0,-8931.0,-2037.0,5012.0,C
-6148.0,7848.0,22680.0,-5662.0,-1110.0,7296.0,C
-4040.0,7404.0,23464.0,-1594.0,-922.0,8440.0,C
-1420.0,6004.0,23360.0,2154.0,-707.0,9101.0,C
-72.0,3796.0,19468.0,5372.0,-2162.0,9321.0,C
2624.0,2152.0,17768.0,7582.0,-2340.0,9087.0,C
4984.0,1100.0,14492.0,9320.0,-3104.0,7979.0,C
5336.0,-80.0,9836.0,9510.0,-2391.0,6274.0,C
5008.0,-408.0,7632.0,8886.0,-1299.0,4679.0,C
4612.0,-488.0,6988.0,7847.0,-831.0,3216.0,C
5284.0,-908.0,6336.0,7106.0,527.0,1540.0,C
5080.0,-684.0,5428.0,5455.0,1809.0,-135.0,C
3680.0,-136.0,4796.0,3975.0,139.0,-1762.0,C
1080.0,740.0,4900.0,2126.0,-593.0,-2660.0,C
-2464.0,1296.0,7176.0,918.0,-702.0,-2597.0,C
-3776.0,1856.0,8160.0,274.0,-418.0,-1665.0,C
-4276.0,2076.0,10012.0,76.0,240.0,-252.0,C
-2528.0,1944.0,10520.0,455.0,204.0,977.0,C
324.0,1560.0,9248.0,581.0,358.0,1162.0,C
816.0,1304.0,8848.0,335.0,585.0,753.0,C
672.0,1320.0,9088.0,91.0,637.0,431.0,C
324.0,1424.0,9140.0,-156.0,712.0,229.0,C
-244.0,1488.0,9696.0,-261.0,936.0,158.0,C
-280.0,1564.0,9624.0,-282.0,803.0,285.0,C
-304.0,1708.0,10048.0,-325.0,878.0,272.0,C
-316.0,1628.0,10388.0,-260.0,729.0,202.0,C
-376.0,1608.0,10460.0,-157.0,282.0,247.0,C
-300.0,1484.0,10384.0,-46.0,399.0,335.0,C
-188.0,-196.0,15916.0,-272.0,-1501.0,255.0,diagonal
-1108.0,-396.0,16068.0,264.0,-664.0,490.0,diagonal
-1076.0,-120.0,15460.0,1087.0,562.0,999.0,diagonal
